resultId,raceId,driverId,constructorId,number,grid,position,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId
25166,1062,839,214,31,8,1,1,1,25,70,2:04:43.199,7483199,54,5,1:21.421,193.704,1
25167,1062,1,131,44,1,2,2,2,18,70,2.736,7485935,49,2,1:18.715,200.363,1
25168,1062,832,6,55,15,3,3,3,15,70,15.018,7498217,54,6,1:21.423,193.699,1
25169,1062,4,214,14,9,4,4,4,12,70,15.651,7498850,41,3,1:20.359,196.264,1
25170,1062,842,213,10,5,5,5,5,11,70,+1:03.614,7546813,70,1,1:18.394,201.183,1
25171,1062,852,213,22,16,6,6,6,8,70,+1:15.803,7559002,43,10,1:22.450,191.286,1
25172,1062,849,3,6,18,7,7,7,6,70,+1:17.910,7561109,62,14,1:22.831,190.406,1
25173,1062,847,3,63,17,8,8,8,4,70,+1:19.094,7562293,62,9,1:22.112,192.074,1
25174,1062,830,9,33,3,9,9,9,2,70,+1:20.244,7563443,43,4,1:20.945,194.843,1
25175,1062,8,51,7,13,10,10,10,1,69,\N,\N,58,8,1:21.518,193.473,11
25176,1062,817,1,3,11,11,11,11,0,69,\N,\N,58,13,1:22.802,190.473,11
25177,1062,854,210,47,20,12,12,12,0,69,\N,\N,44,11,1:22.711,190.683,11
25178,1062,841,51,99,0,13,13,13,0,69,\N,\N,44,12,1:22.736,190.625,11
25179,1062,853,210,9,19,\N,R,14,0,3,\N,\N,\N,0,\N,\N,4
25180,1062,846,1,4,6,\N,R,15,0,2,\N,\N,\N,0,\N,\N,4
25181,1062,822,131,77,2,\N,R,16,0,0,\N,\N,\N,0,\N,\N,4
25182,1062,815,9,11,4,\N,R,17,0,0,\N,\N,\N,0,\N,\N,4
25183,1062,844,6,16,7,\N,R,18,0,0,\N,\N,\N,0,\N,\N,4
25184,1062,840,117,18,12,\N,R,19,0,0,\N,\N,\N,0,\N,\N,4
25185,1062,20,117,5,10,\N,D,20,0,70,\N,\N,60,7,1:21.459,193.613,2
