resultId,raceId,driverId,constructorId,number,grid,position,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId
25106,1058,830,9,33,1,1,1,1,25,71,1:22:18.925,4938925,68,3,1:08.017,228.542,1
25107,1058,1,131,44,2,2,2,2,19,71,35.743,4974668,71,1,1:07.058,231.811,1
25108,1058,822,131,77,5,3,3,3,15,71,46.907,4985832,43,5,1:08.619,226.537,1
25109,1058,815,9,11,4,4,4,4,12,71,47.434,4986359,57,2,1:07.894,228.956,1
25110,1058,846,1,4,3,5,5,5,10,70,\N,\N,65,7,1:08.903,225.604,11
25111,1058,832,6,55,12,6,6,6,8,70,\N,\N,64,4,1:08.609,226.570,11
25112,1058,844,6,16,7,7,7,7,6,70,\N,\N,64,6,1:08.738,226.145,11
25113,1058,840,117,18,9,8,8,8,4,70,\N,\N,32,14,1:09.787,222.746,11
25114,1058,4,214,14,8,9,9,9,2,70,\N,\N,61,13,1:09.749,222.867,11
25115,1058,852,213,22,11,10,10,10,1,70,\N,\N,41,11,1:09.650,223.184,11
25116,1058,8,51,7,18,11,11,11,0,70,\N,\N,57,8,1:09.128,224.869,11
25117,1058,20,117,5,14,12,12,12,0,70,\N,\N,64,15,1:09.821,222.637,11
25118,1058,817,1,3,13,13,13,13,0,70,\N,\N,45,9,1:09.305,224.295,11
25119,1058,839,214,31,17,14,14,14,0,70,\N,\N,70,10,1:09.576,223.421,11
25120,1058,841,51,99,15,15,15,15,0,70,\N,\N,39,12,1:09.723,222.950,11
25121,1058,854,210,47,19,16,16,16,0,69,\N,\N,57,16,1:10.005,222.052,12
25122,1058,849,3,6,16,17,17,17,0,68,\N,\N,34,17,1:10.104,221.739,13
25123,1058,853,210,9,20,18,18,18,0,68,\N,\N,39,19,1:10.951,219.092,13
25124,1058,847,3,63,10,\N,R,19,0,36,\N,\N,28,18,1:10.499,220.496,5
25125,1058,842,213,10,6,\N,R,20,0,1,\N,\N,\N,0,\N,\N,4
