resultId,raceId,driverId,constructorId,number,grid,position,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId
25066,1057,815,9,11,6,1,1,1,25,51,2:13:36.410,8016410,45,2,1:44.687,206.432,1
25067,1057,20,117,5,11,2,2,2,18,51,1.385,8017795,41,4,1:44.890,206.032,1
25068,1057,842,213,10,4,3,3,3,15,51,2.762,8019172,44,6,1:45.220,205.386,1
25069,1057,844,6,16,1,4,4,4,12,51,3.828,8020238,46,8,1:45.382,205.071,1
25070,1057,846,1,4,9,5,5,5,10,51,4.754,8021164,41,7,1:45.326,205.180,1
25071,1057,4,214,14,8,6,6,6,8,51,6.382,8022792,42,11,1:45.624,204.601,1
25072,1057,852,213,22,7,7,7,7,6,51,6.624,8023034,46,5,1:44.939,205.936,1
25073,1057,832,6,55,5,8,8,8,4,51,7.709,8024119,42,13,1:45.700,204.454,1
25074,1057,817,1,3,13,9,9,9,2,51,8.874,8025284,43,14,1:45.713,204.428,1
25075,1057,8,51,7,14,10,10,10,1,51,9.576,8025986,43,10,1:45.601,204.645,1
25076,1057,841,51,99,20,11,11,11,0,51,10.254,8026664,44,9,1:45.575,204.696,1
25077,1057,822,131,77,10,12,12,12,0,51,11.264,8027674,43,12,1:45.665,204.521,1
25078,1057,854,210,47,17,13,13,13,0,51,14.241,8030651,41,18,1:47.624,200.799,1
25079,1057,853,210,9,18,14,14,14,0,51,14.315,8030725,40,19,1:47.747,200.569,1
25080,1057,1,131,44,2,15,15,15,0,51,17.668,8034078,43,3,1:44.769,206.270,1
25081,1057,849,3,6,16,16,16,16,0,51,43.379,8059789,42,17,1:46.608,202.712,1
25082,1057,847,3,63,15,\N,R,17,0,48,\N,\N,43,15,1:45.959,203.954,6
25083,1057,830,9,33,3,\N,R,18,0,45,\N,\N,44,1,1:44.481,206.839,3
25084,1057,840,117,18,19,\N,R,19,0,29,\N,\N,28,16,1:46.207,203.478,3
25085,1057,839,214,31,12,\N,R,20,0,3,\N,\N,2,20,1:50.850,194.955,101
